date,libelle,debit_mad,credit_mad,solde_mad
2026-04-02,VIR ENERGIE PLUS,8539.25,0.0,1022369.26
2026-04-02,VIR TRANSPORT CHERIFIEN,1334.94,0.0,1021034.32
2026-04-05,VIR STE NOUVELLE NEGOCE REGROUPEMENT,35305.63,0.0,985728.69
2026-04-07,VIR AGRIFOOD SOUSS,4776.46,0.0,980952.23
2026-04-07,VIR LOCAVOIT SARL,19684.73,0.0,961267.5
2026-04-08,VIR CAFE DES ORANGERS,2535.06,0.0,958732.44
2026-04-11,VIR BUREAU VERITAS MAROC,48504.86,0.0,910227.58
2026-04-16,VIR INFOTECH MAROC,9360.0,0.0,900867.58
2026-04-20,REGLEMENT CLIENT ONCF,0.0,341156.84,1242024.42
2026-04-25,VIR SOMAFER SARL,19624.51,0.0,1222399.91
2026-04-27,VIR SOMAFER SARL REGROUPEMENT,40375.27,0.0,1182024.64
2026-04-27,VIREMENT SALAIRES,465465.32,0.0,716559.32
2026-04-28,FRAIS DE TENUE DE COMPTE,120.0,0.0,716439.32
