date,libelle,debit_mad,credit_mad,solde_mad
2026-05-02,AVOIR CABINET FIDAROC,0.0,1800.0,718239.32
2026-05-08,VIR CABINET FIDAROC,7200.0,0.0,711039.32
2026-05-09,VIR SOMAFER SARL,21639.47,0.0,689399.85
2026-05-11,VIR AGRIFOOD SOUSS,6969.66,0.0,682430.19
2026-05-14,VIR BUREAU VERITAS MAROC,40059.61,0.0,642370.58
2026-05-15,VIR BUREAU VERITAS MAROC,25765.44,0.0,616605.14
2026-05-17,VIR SECURITAS MAROC,10440.0,0.0,606165.14
2026-05-18,VIR TRANSPORT CHERIFIEN,11524.5,0.0,594640.64
2026-05-18,VIR GLOBAL SUPPLY TRADING REGROUPEMENT,32231.97,0.0,562408.67
2026-05-19,VIR ENERGIE PLUS REGROUPEMENT,22360.91,0.0,540047.76
2026-05-20,VIR AGRIFOOD SOUSS,5465.77,0.0,534581.99
2026-05-20,REGLEMENT CLIENT ONCF,0.0,442990.44,977572.43
2026-05-23,VIR CAFE DES ORANGERS,1040.01,0.0,976532.42
2026-05-25,VIR NETTOYAGE PRO,3840.0,0.0,972692.42
2026-05-26,VIR NETTOYAGE PRO,3840.0,0.0,968852.42
2026-05-27,VIREMENT SALAIRES,447291.07,0.0,521561.35
2026-05-28,VIR IMPRIMERIE AL MANAR,10193.71,0.0,511367.64
2026-05-28,FRAIS DE TENUE DE COMPTE,120.0,0.0,511247.64
2026-05-30,VIR SOMAFER SARL,21266.93,0.0,489980.71
