date,libelle,debit_mad,credit_mad,solde_mad
2026-06-02,VIR TRANSPORT CHERIFIEN,209129.08,0.0,280851.63
2026-06-07,VIR MEDITEL DISTRIBUTION,55000.32,0.0,225851.31
2026-06-07,VIR IMPRIMERIE AL MANAR REGROUPEMENT,17863.15,0.0,207988.16
2026-06-09,VIR TRANSPORT CHERIFIEN,10476.14,0.0,197512.02
2026-06-10,VIR SECURITAS MAROC,10440.0,0.0,187072.02
2026-06-10,VIR ENERGIE PLUS,9039.18,0.0,178032.84
2026-06-12,VIR TRANSPORT CHERIFIEN,6696.34,0.0,171336.5
2026-06-13,VIR PAPETERIE ATLAS,4889.62,0.0,166446.88
2026-06-18,VIR CABINET FIDAROC,7200.0,0.0,159246.88
2026-06-18,VIR IMPRIMERIE AL MANAR,6212.88,0.0,153034.0
2026-06-20,VIR SECURITAS MAROC,10440.0,0.0,142594.0
2026-06-20,REGLEMENT CLIENT ONCF,0.0,590700.04,733294.04
2026-06-22,VIR MAROC TELECOM ENTREPRISE,4920.0,0.0,728374.04
2026-06-23,VIR IMPRIMERIE AL MANAR,1808.35,0.0,726565.69
2026-06-25,VIR INFOTECH MAROC,9360.0,0.0,717205.69
2026-06-27,VIREMENT SALAIRES,452371.26,0.0,264834.43
2026-06-28,FRAIS DE TENUE DE COMPTE,120.0,0.0,264714.43
2026-06-30,VIR MEDITEL DISTRIBUTION,56249.21,0.0,208465.22
