date,libelle,debit_mad,credit_mad,solde_mad
2026-03-02,VIR SOMAFER SARL,13607.57,0.0,1249815.58
2026-03-04,VIR TRANSPORT CHERIFIEN,5339.24,0.0,1244476.34
2026-03-07,VIR LOCAVOIT SARL ACOMPTE,8836.95,0.0,1235639.39
2026-03-07,VIR MAROC TELECOM ENTREPRISE,4920.0,0.0,1230719.39
2026-03-10,VIR SOMAFER SARL,13519.32,0.0,1217200.07
2026-03-12,VIR BUREAU VERITAS MAROC,41793.61,0.0,1175406.46
2026-03-13,VIR CABINET FIDAROC,7200.0,0.0,1168206.46
2026-03-13,VIR IMPRIMERIE AL MANAR,3338.81,0.0,1164867.65
2026-03-18,VIR AGRIFOOD SOUSS,6600.76,0.0,1158266.89
2026-03-20,REGLEMENT CLIENT ONCF,0.0,394627.01,1552893.9
2026-03-21,VIR CABINET FIDAROC,6840.0,0.0,1546053.9
2026-03-22,VIR AGRIFOOD SOUSS,5128.27,0.0,1540925.63
2026-03-22,VIR AGRIFOOD SOUSS,4969.66,0.0,1535955.97
2026-03-22,VIR SECURITAS MAROC,10440.0,0.0,1525515.97
2026-03-27,VIR INFOTECH MAROC,9360.0,0.0,1516155.97
2026-03-27,VIREMENT SALAIRES,463097.38,0.0,1053058.59
2026-03-28,VIR NETTOYAGE PRO,3840.0,0.0,1049218.59
2026-03-28,FRAIS DE TENUE DE COMPTE,120.0,0.0,1049098.59
2026-03-30,VIR IMPRIMERIE AL MANAR,7750.08,0.0,1041348.51
2026-03-31,VIR SECURITAS MAROC,10440.0,0.0,1030908.51
